#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
4703,0,,0,13317,0,-9.21436E+18,11983,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,4,248,MSEDGEWIN10,,8/14/2019 20:48,,,c:\users\myuser\desktop\evtxsample\win10_4703_sedebugprivilege_enabled.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,4865,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,2640,3476,MSEDGEWIN10,S-1-5-18,7/30/2019 5:11,,,c:\users\myuser\desktop\evtxsample\sysmon_1_11_rundll32_cpl_ostap.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,4864,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,2640,3476,MSEDGEWIN10,S-1-5-18,7/30/2019 5:11,,,c:\users\myuser\desktop\evtxsample\sysmon_1_11_rundll32_cpl_ostap.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,4863,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,2640,3476,MSEDGEWIN10,S-1-5-18,7/30/2019 5:11,,,c:\users\myuser\desktop\evtxsample\sysmon_1_11_rundll32_cpl_ostap.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,4861,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,2640,3476,MSEDGEWIN10,S-1-5-18,7/30/2019 5:11,,,c:\users\myuser\desktop\evtxsample\sysmon_1_11_rundll32_cpl_ostap.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
11,2,,4,11,0,-9.22337E+18,4860,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,2640,3476,MSEDGEWIN10,S-1-5-18,7/30/2019 5:11,,,c:\users\myuser\desktop\evtxsample\sysmon_1_11_rundll32_cpl_ostap.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,4353,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,5924,6056,MSEDGEWIN10,S-1-5-18,7/26/2019 15:39,,,c:\users\myuser\desktop\evtxsample\sysmon_exec_compiledhtml.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,4348,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,5924,6056,MSEDGEWIN10,S-1-5-18,7/26/2019 15:39,,,c:\users\myuser\desktop\evtxsample\sysmon_exec_compiledhtml.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1117,0,,4,0,0,-9.22337E+18,106,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:53,2ad0cf94-c382-4568-a488-1253a4ed0f54,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1117,0,,4,0,0,-9.22337E+18,105,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:53,2ad0cf94-c382-4568-a488-1253a4ed0f54,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1117,0,,4,0,0,-9.22337E+18,104,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:53,2ad0cf94-c382-4568-a488-1253a4ed0f54,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1117,0,,4,0,0,-9.22337E+18,103,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:53,2ad0cf94-c382-4568-a488-1253a4ed0f54,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,102,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:51,40013f0f-ef76-4940-a8b2-4de50be9aac3,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
